object_number,title,title.type,object_name,object_name.type,object_category
16086,Magician Lord,Game Title,SNK Neo Geo AES,Cartridge,Game
16087,Fighter's History Dynamite;ファイターズヒストリーダイナマイト;Great Battle Action ファイターズヒストリーダイナマイト;Karnov's Revenge,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,SNK Neo Geo AES,Cartridge,Game
16088,Baseball Stars Professional;ベースボール スターズ プロフェッショナル;ベースボール・スターズ・プロフェッショナル,Game Title Alternative;Game Title;Game Title Alternative,SNK Neo Geo AES,Cartridge,Game
16098,Ryuuko no Ken;龍虎の拳;Super Real Action 龍虎の拳;Ryūko no Ken;Art of Fighting,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,SNK Neo Geo AES,Cartridge,Game
16102,Garou Densetsu Special;餓狼伝説スペシャル;Real Battle Action Game 餓狼伝説スペシャル;餓狼伝説 Special;Garō Densetsu Special;Fatal Fury Special,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative;Game Title Alternative,SNK Neo Geo AES,Cartridge,Game
16114,Ninja Combat,Game Title,SNK Neo Geo AES,Cartridge,Game
16115,"World Heroes;ワールド ヒーローズ;ワールド・ヒーローズ;Super Battle Action ""World Heroes""",Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,SNK Neo Geo AES,Cartridge,Game
16116,Riding Hero,Game Title,SNK Neo Geo AES,Cartridge,Game
16117,Samurai Spirits;サムライスピリッツ;Katana Battle Action Game サムライスピリッツ;Samu Supi;Samurai Shodown,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,SNK Neo Geo AES,Cartridge,Game
16118,Ryuuko no Ken 2;龍虎の拳2;Real Battle Action Game 龍虎の拳2;Ryūko no Ken 2;Art of Fighting,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,SNK Neo Geo AES,Cartridge,Game
16127,Joy Joy Kid;ジョイジョイキッド;Puzzled,Game Title Alternative;Game Title;Game Title Alternative,SNK Neo Geo AES,Cartridge,Game
